Time,CPU(%),RAM(MB),Latency,Throughput,Nodes,Strategy,Under_Attack
0.06,5.36,62.26,500.0,0.0,30,MYCO_SWAP,NO
2.12,5.6,62.43,500.0,0.0,30,MYCO_SWAP,NO
4.19,5.3,62.69,500.0,0.0,30,MYCO_SWAP,NO
6.26,5.55,62.39,500.0,0.0,30,MYCO_SWAP,NO
8.33,5.45,62.4,500.0,0.0,30,MYCO_SWAP,NO
10.4,5.51,62.47,500.0,0.0,30,MYCO_SWAP,NO
12.47,5.47,62.12,500.0,0.0,30,MYCO_SWAP,NO
14.54,5.52,62.75,500.0,0.0,30,MYCO_SWAP,NO
16.61,5.31,62.41,500.0,0.0,30,MYCO_SWAP,NO
18.68,5.24,62.51,500.0,0.0,30,MYCO_SWAP,NO
20.75,5.37,62.6,500.0,0.0,30,MYCO_SWAP,NO
22.82,5.3,62.23,500.0,0.0,30,MYCO_SWAP,NO
24.89,5.37,62.51,500.0,0.0,30,MYCO_SWAP,NO
26.96,5.24,62.52,500.0,0.0,30,MYCO_SWAP,NO
29.03,5.46,62.31,500.0,0.0,30,MYCO_SWAP,NO
31.1,14.04,78.5,500.0,0.0,30,MYCO_SWAP,YES
33.17,14.66,78.21,500.0,0.0,30,MYCO_SWAP,YES
35.24,14.91,78.39,500.0,0.0,30,MYCO_SWAP,YES
37.31,14.81,76.64,500.0,0.0,30,MYCO_SWAP,YES
39.38,14.78,78.28,500.0,0.0,30,MYCO_SWAP,YES
41.45,15.39,76.62,500.0,0.0,30,MYCO_SWAP,YES
43.52,15.34,77.15,500.0,0.0,30,MYCO_SWAP,YES
45.59,15.38,77.33,500.0,0.0,30,MYCO_SWAP,YES
47.66,14.89,78.05,500.0,0.0,30,MYCO_SWAP,YES
49.73,14.82,77.59,500.0,0.0,30,MYCO_SWAP,YES
51.8,15.76,76.82,500.0,0.0,30,MYCO_SWAP,YES
53.87,15.73,76.66,500.0,0.0,30,MYCO_SWAP,YES
55.94,15.6,77.8,500.0,0.0,30,MYCO_SWAP,YES
58.01,14.37,77.4,500.0,0.0,30,MYCO_SWAP,YES
60.08,15.8,76.83,500.0,0.0,30,MYCO_SWAP,YES
62.14,14.19,77.23,500.0,0.0,30,MYCO_SWAP,YES
64.2,15.66,76.85,500.0,0.0,30,MYCO_SWAP,YES
66.26,14.87,76.65,500.0,0.0,30,MYCO_SWAP,YES
68.33,15.03,78.01,500.0,0.0,30,MYCO_SWAP,YES
70.4,14.73,77.41,500.0,0.0,30,MYCO_SWAP,YES
72.47,14.32,76.91,500.0,0.0,30,MYCO_SWAP,YES
74.54,14.4,77.85,500.0,0.0,30,MYCO_SWAP,YES
76.61,5.48,62.88,500.0,0.0,30,MYCO_SWAP,NO
78.68,5.24,62.52,500.0,0.0,30,MYCO_SWAP,NO
80.75,5.27,62.68,500.0,0.0,30,MYCO_SWAP,NO
82.82,5.28,62.73,500.0,0.0,30,MYCO_SWAP,NO
84.89,5.42,62.86,500.0,0.0,30,MYCO_SWAP,NO
86.96,5.34,62.41,500.0,0.0,30,MYCO_SWAP,NO
89.03,5.25,62.89,500.0,0.0,30,MYCO_SWAP,NO
91.1,5.21,62.37,500.0,0.0,30,MYCO_SWAP,NO
93.17,5.37,62.56,500.0,0.0,30,MYCO_SWAP,NO
95.24,5.35,62.11,500.0,0.0,30,MYCO_SWAP,NO
97.31,5.29,62.37,500.0,0.0,30,MYCO_SWAP,NO
99.38,5.3,62.24,500.0,0.0,30,MYCO_SWAP,NO
101.45,5.47,62.39,500.0,0.0,30,MYCO_SWAP,NO
