Time,CPU(%),RAM(MB),Latency,Throughput,Nodes,Strategy,Under_Attack
0.14,6.04,71.28,500.0,0.0,50,MYCO_BOX,NO
2.25,6.01,70.87,500.0,0.0,50,MYCO_BOX,NO
4.36,6.06,70.97,500.0,0.0,50,MYCO_BOX,NO
6.46,5.82,70.75,500.0,0.0,50,MYCO_BOX,NO
8.57,5.98,70.93,500.0,0.0,50,MYCO_BOX,NO
10.68,6.14,70.87,500.0,0.0,50,MYCO_BOX,NO
12.8,5.84,71.03,500.0,0.0,50,MYCO_BOX,NO
14.91,6.2,70.77,500.0,0.0,50,MYCO_BOX,NO
17.03,6.02,71.2,500.0,0.0,50,MYCO_BOX,NO
19.15,6.1,70.77,500.0,0.0,50,MYCO_BOX,NO
21.25,6.02,70.95,500.0,0.0,50,MYCO_BOX,NO
23.38,5.88,70.8,500.0,0.0,50,MYCO_BOX,NO
25.49,5.93,70.88,500.0,0.0,50,MYCO_BOX,NO
27.6,6.17,70.93,500.0,0.0,50,MYCO_BOX,NO
29.72,6.08,70.97,500.0,0.0,50,MYCO_BOX,NO
31.79,9.47,77.38,500.0,0.0,50,MYCO_BOX,YES
33.87,9.04,77.02,500.0,0.0,50,MYCO_BOX,YES
35.98,9.05,77.0,500.0,0.0,50,MYCO_BOX,YES
38.1,9.38,77.23,500.0,0.0,50,MYCO_BOX,YES
40.17,9.32,76.97,500.0,0.0,50,MYCO_BOX,YES
42.25,9.28,77.44,500.0,0.0,50,MYCO_BOX,YES
44.32,9.2,77.32,500.0,0.0,50,MYCO_BOX,YES
46.39,9.23,76.87,500.0,0.0,50,MYCO_BOX,YES
48.47,9.25,76.9,500.0,0.0,50,MYCO_BOX,YES
50.57,9.2,76.9,500.0,0.0,50,MYCO_BOX,YES
52.68,9.2,77.49,500.0,0.0,50,MYCO_BOX,YES
54.78,9.38,77.43,500.0,0.0,50,MYCO_BOX,YES
56.89,9.41,77.2,500.0,0.0,50,MYCO_BOX,YES
59.0,9.42,77.03,500.0,0.0,50,MYCO_BOX,YES
61.11,9.26,76.92,500.0,0.0,50,MYCO_BOX,YES
63.22,9.24,76.94,500.0,0.0,50,MYCO_BOX,YES
65.34,9.4,77.18,500.0,0.0,50,MYCO_BOX,YES
67.44,9.48,77.48,500.0,0.0,50,MYCO_BOX,YES
69.55,9.38,76.91,500.0,0.0,50,MYCO_BOX,YES
71.65,9.04,76.83,500.0,0.0,50,MYCO_BOX,YES
73.76,9.19,77.26,500.0,0.0,50,MYCO_BOX,YES
75.87,5.83,71.24,500.0,0.0,50,MYCO_BOX,NO
77.97,6.2,70.95,500.0,0.0,50,MYCO_BOX,NO
80.08,6.18,71.19,500.0,0.0,50,MYCO_BOX,NO
82.19,6.11,70.84,500.0,0.0,50,MYCO_BOX,NO
84.3,5.99,70.85,500.0,0.0,50,MYCO_BOX,NO
86.42,5.92,71.0,500.0,0.0,50,MYCO_BOX,NO
88.52,5.93,70.76,500.0,0.0,50,MYCO_BOX,NO
90.63,5.87,70.74,500.0,0.0,50,MYCO_BOX,NO
92.74,5.81,71.05,500.0,0.0,50,MYCO_BOX,NO
94.85,6.0,71.08,500.0,0.0,50,MYCO_BOX,NO
96.95,6.01,70.71,500.0,0.0,50,MYCO_BOX,NO
99.07,5.82,71.08,500.0,0.0,50,MYCO_BOX,NO
101.18,6.05,71.09,500.0,0.0,50,MYCO_BOX,NO
103.3,6.19,70.8,500.0,0.0,50,MYCO_BOX,NO
