Time,CPU(%),RAM(MB),Latency,Throughput,Nodes,Strategy,Under_Attack
0.07,6.88,72.08,500.0,0.0,30,MYCO_SCOUT,NO
2.13,7.02,72.01,500.0,0.0,30,MYCO_SCOUT,NO
4.2,7.01,72.24,500.0,0.0,30,MYCO_SCOUT,NO
6.27,7.17,72.24,500.0,0.0,30,MYCO_SCOUT,NO
8.34,7.05,72.9,500.0,0.0,30,MYCO_SCOUT,NO
10.4,7.01,72.76,500.0,0.0,30,MYCO_SCOUT,NO
12.48,6.91,72.8,500.0,0.0,30,MYCO_SCOUT,NO
14.55,6.9,72.03,500.0,0.0,30,MYCO_SCOUT,NO
16.62,7.0,71.91,500.0,0.0,30,MYCO_SCOUT,NO
18.69,6.84,72.29,500.0,0.0,30,MYCO_SCOUT,NO
20.75,7.22,73.08,500.0,0.0,30,MYCO_SCOUT,NO
22.82,7.16,72.69,500.0,0.0,30,MYCO_SCOUT,NO
24.88,7.2,72.52,500.0,0.0,30,MYCO_SCOUT,NO
26.95,7.02,72.24,500.0,0.0,30,MYCO_SCOUT,NO
29.03,6.78,72.19,500.0,0.0,30,MYCO_SCOUT,NO
31.09,10.48,79.66,500.0,0.0,30,MYCO_SCOUT,YES
33.15,10.82,80.22,500.0,0.0,30,MYCO_SCOUT,YES
35.21,10.29,80.04,500.0,0.0,30,MYCO_SCOUT,YES
37.28,10.22,79.72,500.0,0.0,30,MYCO_SCOUT,YES
39.34,10.2,79.58,500.0,0.0,30,MYCO_SCOUT,YES
41.41,10.82,79.48,500.0,0.0,30,MYCO_SCOUT,YES
43.47,10.72,80.17,500.0,0.0,30,MYCO_SCOUT,YES
45.54,10.52,80.34,500.0,0.0,30,MYCO_SCOUT,YES
47.61,10.29,79.56,500.0,0.0,30,MYCO_SCOUT,YES
49.68,10.33,79.76,500.0,0.0,30,MYCO_SCOUT,YES
51.75,11.04,79.66,500.0,0.0,30,MYCO_SCOUT,YES
53.82,10.42,79.89,500.0,0.0,30,MYCO_SCOUT,YES
55.9,10.62,80.28,500.0,0.0,30,MYCO_SCOUT,YES
57.97,10.97,80.31,500.0,0.0,30,MYCO_SCOUT,YES
60.04,10.13,80.27,500.0,0.0,30,MYCO_SCOUT,YES
62.11,10.4,80.16,500.0,0.0,30,MYCO_SCOUT,YES
64.18,10.54,79.89,500.0,0.0,30,MYCO_SCOUT,YES
66.25,10.38,79.75,500.0,0.0,30,MYCO_SCOUT,YES
68.32,11.0,79.55,500.0,0.0,30,MYCO_SCOUT,YES
70.39,10.79,79.94,500.0,0.0,30,MYCO_SCOUT,YES
72.46,10.82,80.08,500.0,0.0,30,MYCO_SCOUT,YES
74.53,10.28,79.84,500.0,0.0,30,MYCO_SCOUT,YES
76.6,6.9,71.91,500.0,0.0,30,MYCO_SCOUT,NO
78.67,7.27,72.09,500.0,0.0,30,MYCO_SCOUT,NO
80.74,6.74,72.19,500.0,0.0,30,MYCO_SCOUT,NO
82.81,7.06,72.7,500.0,0.0,30,MYCO_SCOUT,NO
84.88,7.03,72.22,500.0,0.0,30,MYCO_SCOUT,NO
86.95,7.12,72.14,500.0,0.0,30,MYCO_SCOUT,NO
89.02,6.96,72.49,500.0,0.0,30,MYCO_SCOUT,NO
91.09,7.1,72.28,500.0,0.0,30,MYCO_SCOUT,NO
93.16,6.9,71.95,500.0,0.0,30,MYCO_SCOUT,NO
95.23,6.71,72.83,500.0,0.0,30,MYCO_SCOUT,NO
97.31,7.06,73.06,500.0,0.0,30,MYCO_SCOUT,NO
99.37,6.8,72.01,500.0,0.0,30,MYCO_SCOUT,NO
101.44,7.15,72.77,500.0,0.0,30,MYCO_SCOUT,NO
